tile,n_pixels,rmse,mae,bias,r2,true_mean,true_std,pred_mean
lat+58.5702_lon+014.6635_00058,65536,4.82398796081543,1.0946098566055298,0.5399056673049927,0.9279782769178226,2.7984771728515625,17.975229263305664,3.3383827209472656
lat+67.9602_lon+019.1191_00015,65536,9.54342269897461,7.67429780960083,5.349490642547607,-0.1790850876523249,2.0310211181640625,8.788840293884277,7.38051176071167
lat+67.9083_lon+017.4423_00050,65536,9.803747177124023,7.808469772338867,6.5411882400512695,-0.9393986791141515,0.998504638671875,7.039771556854248,7.539692401885986
lat+65.2031_lon+014.7053_00065,65536,13.727957725524902,9.615962982177734,1.3728501796722412,0.35029767816502144,7.0054931640625,17.031335830688477,8.37834358215332
lat+58.5221_lon+012.8649_00045,65536,14.19311809539795,6.715744972229004,4.314730167388916,0.8280292131681745,14.674423217773438,34.225555419921875,18.989152908325195
lat+63.9760_lon+012.7920_00054,65536,14.21883487701416,8.532926559448242,-7.104485511779785,0.46968181608597703,11.47747802734375,19.525211334228516,4.372992515563965
lat+63.1528_lon+012.8403_00036,65536,14.622777938842773,10.209454536437988,-8.554245948791504,0.7193224253203703,25.383544921875,27.601078033447266,16.829299926757812
lat+67.5570_lon+019.0113_00001,65536,14.669083595275879,11.1614351272583,-4.925612449645996,0.26599828301232553,12.982421875,17.121997833251953,8.056809425354004
lat+55.4811_lon+013.1904_00024,65536,14.937126159667969,8.160752296447754,5.225801467895508,0.7370970416844725,10.302322387695312,29.131933212280273,15.52812385559082
lat+61.6339_lon+012.5742_00073,65536,15.57071304321289,9.946434020996094,-7.32603120803833,0.7368645530483839,24.005126953125,30.354202270507812,16.679096221923828
lat+65.1313_lon+015.2360_00018,65536,15.596109390258789,11.149629592895508,-4.063083171844482,0.6738145865447033,17.5958251953125,27.307628631591797,13.53274154663086
lat+65.2071_lon+015.3209_00070,65536,15.596394538879395,11.03021240234375,-2.574833393096924,0.6958196070427796,16.696334838867188,28.278644561767578,14.121501922607422
lat+59.3482_lon+013.3680_00026,65536,19.217872619628906,10.835166931152344,2.945925235748291,0.8622210504562586,34.04158020019531,51.774253845214844,36.98750686645508
lat+60.3117_lon+013.8347_00020,65536,20.268293380737305,14.530767440795898,-1.4270774126052856,0.7778021047271649,63.17085266113281,42.99789810180664,61.7437744140625
lat+64.8063_lon+013.9387_00091,65536,20.764453887939453,14.485013961791992,-6.934722423553467,0.5141515490833232,19.454742431640625,29.78997230529785,12.52001953125
lat+58.7134_lon+016.7782_00064,65536,21.5637264251709,16.01259422302246,-1.072380781173706,0.7990967820536756,58.9449462890625,48.10944747924805,57.87256622314453
lat+58.9563_lon+013.0949_00096,65536,21.57069206237793,11.71732234954834,8.678318977355957,0.6971982235582299,24.276412963867188,39.19989013671875,32.95473098754883
lat+58.2852_lon+012.5222_00090,65536,21.81611442565918,15.650394439697266,3.3163466453552246,0.815761647504053,62.931121826171875,50.826168060302734,66.24746704101562
lat+60.4972_lon+017.0285_00042,65536,22.00214385986328,16.605533599853516,-1.9695062637329102,0.7309669347272911,95.39459228515625,42.41917037963867,93.42507934570312
lat+57.4842_lon+016.6536_00089,65536,22.181093215942383,14.069742202758789,9.577792167663574,0.6889775023540028,39.014251708984375,39.77288055419922,48.592041015625
lat+59.5245_lon+012.4389_00048,65536,22.515676498413086,16.016841888427734,-5.1540327072143555,0.8234692593666288,80.2259521484375,53.588897705078125,75.07191467285156
lat+61.6184_lon+014.0826_00032,65536,22.924297332763672,17.232467651367188,-16.28183364868164,0.28103434080546885,34.951446533203125,27.03597068786621,18.669612884521484
lat+59.2563_lon+015.3601_00086,65536,23.085460662841797,15.004074096679688,9.442919731140137,0.8041403787010302,34.12077331542969,52.163421630859375,43.56369400024414
lat+64.3596_lon+016.5273_00041,65536,23.10891342163086,17.13947296142578,-15.833162307739258,0.41055531025528635,37.020416259765625,30.099411010742188,21.187253952026367
lat+62.2352_lon+014.5236_00068,65536,23.126773834228516,16.08599853515625,-14.217458724975586,0.4880387968934161,37.12359619140625,32.32187271118164,22.90613555908203
lat+58.5880_lon+015.6400_00000,65536,23.337810516357422,16.892120361328125,-8.173714637756348,0.8089622126502114,78.28706359863281,53.394989013671875,70.11334228515625
lat+62.4412_lon+015.6524_00002,65536,23.35132598876953,18.369720458984375,-12.427926063537598,0.5710407234604753,66.74761962890625,35.65361022949219,54.31969451904297
lat+61.4486_lon+016.2067_00037,65536,23.732677459716797,18.132041931152344,-2.029839515686035,0.6930903418411485,76.81929016113281,42.839210510253906,74.7894515991211
lat+66.9127_lon+017.5199_00039,65536,23.861896514892578,18.120817184448242,-3.526310443878174,0.5117370334229443,20.265243530273438,34.14900588989258,16.738933563232422
lat+57.0668_lon+015.7669_00046,65536,23.91229820251465,18.585025787353516,-6.206389427185059,0.5386007064158389,90.31465148925781,35.2032585144043,84.10826110839844
lat+57.2128_lon+016.0797_00030,65536,24.181718826293945,18.370576858520508,-0.6218833923339844,0.7171643653989856,83.81546020507812,45.46949005126953,83.1935806274414
lat+59.2427_lon+012.1579_00022,65536,24.526620864868164,16.65408706665039,3.3086609840393066,0.8159195841106169,72.98416137695312,57.165489196777344,76.2928237915039
lat+60.7081_lon+014.4537_00035,65536,24.858642578125,18.893095016479492,-10.581174850463867,0.6863724329894493,67.75137329101562,44.38848114013672,57.170196533203125
lat+67.0971_lon+018.7902_00014,65536,24.954919815063477,16.601314544677734,-11.478169441223145,0.2960123361846282,21.261932373046875,29.742237091064453,9.78376293182373
lat+64.5763_lon+016.5147_00095,65536,25.660268783569336,20.406230926513672,-19.086383819580078,0.38020672348278106,46.812713623046875,32.59400939941406,27.726329803466797
