tile,n_pixels,rmse,mae,bias,r2,true_mean,true_std,pred_mean
lat+58.5702_lon+014.6635_00058,65536,4.056344032287598,0.8333421945571899,0.19436557590961456,0.9490762193094735,2.7984771728515625,17.975229263305664,2.99284291267395
lat+67.9083_lon+017.4423_00050,65536,6.467939376831055,2.1053459644317627,1.110901117324829,0.1558594806285034,0.998504638671875,7.039771556854248,2.109405755996704
lat+67.9602_lon+019.1191_00015,65536,6.736791610717773,2.214629650115967,-0.6463887095451355,0.41245242105552193,2.0310211181640625,8.788840293884277,1.3846323490142822
lat+58.5221_lon+012.8649_00045,65536,11.520967483520508,5.378166198730469,2.360783100128174,0.8866877292292686,14.674423217773438,34.225555419921875,17.035205841064453
lat+65.2031_lon+014.7053_00065,65536,12.882292747497559,6.233838081359863,-2.6337709426879883,0.42787764326932143,7.0054931640625,17.031335830688477,4.371722221374512
lat+65.2071_lon+015.3209_00070,65536,13.47038459777832,7.149071216583252,-1.2619456052780151,0.7730956589329282,16.696334838867188,28.278644561767578,15.4343900680542
lat+65.1313_lon+015.2360_00018,65536,13.588322639465332,7.228780746459961,-0.9048953056335449,0.7523925413849808,17.5958251953125,27.307628631591797,16.690929412841797
lat+55.4811_lon+013.1904_00024,65536,14.274230003356934,9.008830070495605,5.938160419464111,0.7599140378128046,10.302322387695312,29.131933212280273,16.240482330322266
lat+63.9760_lon+012.7920_00054,65536,14.32105827331543,7.911864280700684,-6.877776622772217,0.4620291649109145,11.47747802734375,19.525211334228516,4.599701881408691
lat+66.9127_lon+017.5199_00039,65536,15.1333589553833,8.375926971435547,2.1628668308258057,0.8036121874299313,20.265243530273438,34.14900588989258,22.428110122680664
lat+58.9563_lon+013.0949_00096,65536,15.143993377685547,7.872654914855957,3.771739959716797,0.8507511170285234,24.276412963867188,39.19989013671875,28.048152923583984
lat+63.1528_lon+012.8403_00036,65536,15.803224563598633,10.783952713012695,-5.145952224731445,0.6721770559180877,25.383544921875,27.601078033447266,20.237592697143555
lat+64.8063_lon+013.9387_00091,65536,16.454483032226562,9.632055282592773,-5.527153968811035,0.6949097573655643,19.454742431640625,29.78997230529785,13.927587509155273
lat+57.4842_lon+016.6536_00089,65536,16.85420036315918,10.451247215270996,4.5272369384765625,0.8204265093514218,39.014251708984375,39.77288055419922,43.54148864746094
lat+61.6339_lon+012.5742_00073,65536,17.334087371826172,10.438173294067383,-6.418046951293945,0.6738898655001297,24.005126953125,30.354202270507812,17.587078094482422
lat+67.5570_lon+019.0113_00001,65536,17.6086483001709,11.571137428283691,-9.872512817382812,-0.05765285265728659,12.982421875,17.121997833251953,3.1099088191986084
lat+59.3482_lon+013.3680_00026,65536,17.842594146728516,9.405978202819824,-0.7984683513641357,0.8812350581244595,34.04158020019531,51.774253845214844,33.24311065673828
lat+64.3596_lon+016.5273_00041,65536,18.178485870361328,13.676872253417969,-5.352107048034668,0.6352465317109471,37.020416259765625,30.099411010742188,31.66830825805664
lat+62.2352_lon+014.5236_00068,65536,19.13509750366211,13.897262573242188,-6.120970726013184,0.6495158859719631,37.12359619140625,32.32187271118164,31.00262451171875
lat+59.2563_lon+015.3601_00086,65536,19.33169937133789,12.414072036743164,2.3213415145874023,0.8626565669915478,34.12077331542969,52.163421630859375,36.442115783691406
lat+64.6657_lon+014.1359_00075,65536,19.767236709594727,13.986315727233887,-5.5787458419799805,0.704461320837812,41.14402770996094,36.36124801635742,35.565284729003906
lat+64.5499_lon+016.1106_00074,65536,20.6253662109375,15.048308372497559,1.6085166931152344,0.7020725519272867,48.111175537109375,37.78734588623047,49.719688415527344
lat+65.2132_lon+015.9358_00083,65536,20.93187141418457,16.16272735595703,-5.795657157897949,0.613688759628265,54.48072814941406,33.67746353149414,48.68507385253906
lat+63.9657_lon+015.8521_00040,65536,21.01644515991211,15.299705505371094,-3.052035331726074,0.7187962461116546,51.27388000488281,39.63224792480469,48.22184753417969
lat+58.2852_lon+012.5222_00090,65536,21.35753059387207,15.782182693481445,2.669156074523926,0.8234257754843168,62.931121826171875,50.826168060302734,65.60028076171875
lat+63.5770_lon+018.4623_00060,65536,21.46159553527832,17.003482818603516,-0.6911548376083374,0.6623186608786826,73.55804443359375,36.93247985839844,72.86688995361328
lat+63.3475_lon+016.2011_00079,65536,21.577632904052734,17.400178909301758,-3.970195770263672,0.6026793261977416,62.10011291503906,34.23207473754883,58.129920959472656
lat+64.5763_lon+016.5147_00095,65536,21.61505889892578,16.177959442138672,0.9351657629013062,0.5602181391784147,46.812713623046875,32.59400939941406,47.74787902832031
lat+64.1017_lon+018.4355_00029,65536,21.710641860961914,16.18099021911621,-4.387686729431152,0.6338838155239752,48.958526611328125,35.88088607788086,44.57084274291992
lat+66.2111_lon+017.0172_00017,65536,21.735403060913086,16.977970123291016,-13.333963394165039,0.5255124540884146,54.0301513671875,31.55406379699707,40.696189880371094
lat+58.7134_lon+016.7782_00064,65536,21.756677627563477,16.027584075927734,-7.568251609802246,0.7954853606490111,58.9449462890625,48.10944747924805,51.37669372558594
lat+66.4712_lon+018.1860_00059,65536,21.963106155395508,12.473386764526367,-8.713607788085938,0.6253913035482233,24.508636474609375,35.88433074951172,15.795028686523438
lat+64.6135_lon+015.7162_00081,65536,22.314807891845703,18.330097198486328,-3.732494354248047,0.4410582044801262,61.53265380859375,29.847631454467773,57.8001594543457
lat+64.5377_lon+014.8876_00031,65536,22.319429397583008,17.69873046875,-12.242555618286133,0.6009659038129648,50.858428955078125,35.332801818847656,38.615875244140625
lat+62.7054_lon+016.4458_00011,65536,22.332687377929688,15.736076354980469,-7.036707401275635,0.786012589677491,64.02476501464844,48.27773666381836,56.988059997558594
lat+65.4662_lon+019.7724_00006,65536,22.3635311126709,16.86275863647461,-4.891757965087891,0.5334449526856628,46.50141906738281,32.74077224731445,41.60966110229492
lat+66.8264_lon+018.5050_00072,65536,22.45964241027832,15.956296920776367,-8.781790733337402,0.5540214296229176,41.7286376953125,33.6314697265625,32.94684600830078
lat+65.9057_lon+016.6585_00053,65536,22.49163818359375,15.623933792114258,-9.935470581054688,0.6826261153912311,44.591583251953125,39.92413330078125,34.65611267089844
lat+59.2427_lon+012.1579_00022,65536,22.625194549560547,15.524456977844238,-4.082091331481934,0.8433549067670555,72.98416137695312,57.165489196777344,68.90206909179688
lat+64.9773_lon+016.5909_00094,65536,22.6478271484375,17.356124877929688,-3.8892359733581543,0.5645545929364948,52.8414306640625,34.320980072021484,48.95219421386719
lat+61.5057_lon+014.7455_00005,65536,22.886302947998047,18.47185516357422,-10.651308059692383,0.5097581552370221,60.50306701660156,32.68665313720703,49.85175704956055
