tile,n_pixels,rmse,mae,bias,r2,true_mean,true_std,pred_mean
lat+67.9083_lon+017.4423_00050,65536,6.70217752456665,3.4082164764404297,2.3105392456054688,0.09361084339194914,0.998504638671875,7.039771556854248,3.309044122695923
lat+67.9602_lon+019.1191_00015,65536,6.748294353485107,3.21701717376709,0.5174446702003479,0.4104442703231739,2.0310211181640625,8.788840293884277,2.5484657287597656
lat+65.2071_lon+015.3209_00070,65536,12.394248962402344,7.469821929931641,4.507753372192383,0.8079018325924023,16.696334838867188,28.278644561767578,21.20408821105957
lat+65.2031_lon+014.7053_00065,65536,12.875828742980957,7.552248001098633,3.746415138244629,0.4284516632270359,7.0054931640625,17.031335830688477,10.751908302307129
lat+66.9127_lon+017.5199_00039,65536,13.205831527709961,8.135815620422363,1.2348331212997437,0.850453785447253,20.265243530273438,34.14900588989258,21.500076293945312
lat+67.8793_lon+022.8541_00021,65536,13.469185829162598,10.171854019165039,-0.67548006772995,0.6694440342045198,43.248992919921875,23.4271183013916,42.573509216308594
lat+67.5570_lon+019.0113_00001,65536,13.825669288635254,9.469959259033203,-6.235522747039795,0.3479761687024189,12.982421875,17.121997833251953,6.746899604797363
lat+66.6482_lon+018.6290_00066,65536,15.013215065002441,10.101566314697266,-2.672449827194214,0.7836298081148382,37.281829833984375,32.27565002441406,34.609378814697266
lat+65.1313_lon+015.2360_00018,65536,15.376782417297363,9.207330703735352,7.113066673278809,0.6829242914578466,17.5958251953125,27.307628631591797,24.708892822265625
lat+67.6523_lon+023.0615_00034,65536,15.398730278015137,11.681705474853516,0.7248234748840332,0.7112830330160163,44.54029846191406,28.65818977355957,45.26512145996094
lat+67.8024_lon+021.6098_00033,65536,15.655714988708496,12.001466751098633,-5.303528785705566,0.5575765589956607,39.37945556640625,23.53714942932129,34.075927734375
lat+63.9760_lon+012.7920_00054,65536,15.793150901794434,8.562395095825195,5.8377861976623535,0.34574643427552654,11.47747802734375,19.525211334228516,17.315265655517578
lat+64.8063_lon+013.9387_00091,65536,15.972931861877441,11.285590171813965,7.979872703552246,0.7125058038741372,19.454742431640625,29.78997230529785,27.434612274169922
lat+67.0971_lon+018.7902_00014,65536,16.356966018676758,9.761397361755371,-6.422008037567139,0.6975467557487606,21.261932373046875,29.742237091064453,14.839924812316895
lat+66.8264_lon+018.5050_00072,65536,16.360998153686523,10.963607788085938,-2.6384165287017822,0.7633383381330773,41.7286376953125,33.6314697265625,39.0902214050293
lat+65.9057_lon+016.6585_00053,65536,17.351369857788086,12.156085968017578,2.8289222717285156,0.8111154057820754,44.591583251953125,39.92413330078125,47.42050552368164
lat+66.4712_lon+018.1860_00059,65536,17.79990005493164,10.436156272888184,-2.9661436080932617,0.7539488218281732,24.508636474609375,35.88433074951172,21.54249382019043
lat+67.1878_lon+020.4789_00027,65536,18.096961975097656,13.742883682250977,-8.986306190490723,0.5984819607404723,52.803314208984375,28.559667587280273,43.81700897216797
lat+67.0744_lon+021.4346_00084,65536,18.157012939453125,13.65935230255127,-0.46009159088134766,0.6037972656629937,46.17912292480469,28.84600257873535,45.719032287597656
