tile,n_pixels,rmse,mae,bias,r2,true_mean,true_std,pred_mean,cci_sd_mean,cci_sd_rms,frac_sd_gt0,rmse_over_cci_sd,frac_within_1sd,frac_within_2sd
lat+58.5702_lon+014.6635_00058,65536,6.264720439910889,4.127752304077148,3.4467525482177734,0.8785340763638178,2.7984771728515625,17.975229263305664,6.245229721069336,0.909515380859375,5.838028907775879,0.026947021484375,1.07308828830719,0.8154020385050963,0.9263873159682899
lat+67.9602_lon+019.1191_00015,65536,7.161281108856201,3.972848892211914,-2.6071105003356934,0.3360761713504751,2.0310211181640625,8.788840293884277,-0.5760893821716309,0.9454803466796875,4.174593448638916,0.0569000244140625,1.7154439687728882,0.2475194422097077,0.8431214802896219
lat+67.9083_lon+017.4423_00050,65536,8.838462829589844,4.2602763175964355,-0.36875227093696594,-0.5762907756211344,0.998504638671875,7.039771556854248,0.6297522783279419,0.4397735595703125,3.1915974617004395,0.0221099853515625,2.7692911624908447,0.4927536231884058,0.8171152518978606
lat+63.9760_lon+012.7920_00054,65536,10.371109008789062,6.133905410766602,-0.40254878997802734,0.7178637320737172,11.47747802734375,19.525211334228516,11.074929237365723,5.6953277587890625,11.175092697143555,0.41986083984375,0.9280557632446289,0.5289286233464167,0.8798153801424625
lat+67.0971_lon+018.7902_00014,65536,12.904457092285156,8.150245666503906,-3.921180009841919,0.8117512142508903,21.261932373046875,29.742237091064453,17.34075164794922,13.614913940429688,23.446388244628906,0.3779449462890625,0.5503814220428467,0.907868706851306,0.9941459081916912
lat+61.6184_lon+014.0826_00032,65536,13.041136741638184,9.673877716064453,3.2655930519104004,0.7673264885750258,34.951446533203125,27.03597068786621,38.217041015625,16.931015014648438,21.1967716217041,0.92132568359375,0.6152416467666626,0.7666280225240146,0.9276416031798609
lat+67.5570_lon+019.0113_00001,65536,13.285306930541992,9.43140983581543,-5.671872615814209,0.39794759908514765,12.982421875,17.121997833251953,7.310549736022949,6.520294189453125,10.783490180969238,0.437347412109375,1.2320044040679932,0.4472821156932524,0.9219175214569814
lat+55.4811_lon+013.1904_00024,65536,13.44589900970459,6.91130256652832,2.752701997756958,0.7869698463861101,10.302322387695312,29.131933212280273,13.055024147033691,5.1798858642578125,17.53207015991211,0.29547119140625,0.7669315934181213,0.37760793224540384,0.5703883495145631
lat+65.2031_lon+014.7053_00065,65536,13.85651683807373,7.448134422302246,1.7534555196762085,0.33807203150881393,7.0054931640625,17.031335830688477,8.75894832611084,3.4213714599609375,9.260536193847656,0.1745452880859375,1.4962974786758423,0.6689395926217326,0.9560276247923769
lat+58.5221_lon+012.8649_00045,65536,13.865700721740723,7.10186767578125,4.272052764892578,0.8358720130179038,14.674423217773438,34.225555419921875,18.946475982666016,5.2554168701171875,12.799802780151367,0.2483367919921875,1.0832746028900146,0.5203686635944701,0.7289708141321044
lat+67.8793_lon+022.8541_00021,65536,13.887927055358887,10.780414581298828,6.326686382293701,0.6485713790037131,43.248992919921875,23.4271183013916,49.575679779052734,26.683258056640625,30.43952178955078,0.9470977783203125,0.456246554851532,0.8884950619471879,0.9657800190111006
lat+61.6339_lon+012.5742_00073,65536,14.825248718261719,9.188997268676758,5.677414894104004,0.7614571878061065,24.005126953125,30.354202270507812,29.682540893554688,11.285064697265625,18.290380477905273,0.517303466796875,0.8105489611625671,0.6770691994572592,0.9301811102589818
lat+67.8024_lon+021.6098_00033,65536,14.975168228149414,11.327278137207031,3.9781808853149414,0.5952044703946691,39.37945556640625,23.53714942932129,43.357635498046875,25.457977294921875,29.667388916015625,0.912506103515625,0.5047686696052551,0.9028126149627103,0.9790976890405003
lat+64.8063_lon+013.9387_00091,65536,16.159988403320312,10.171460151672363,2.912226676940918,0.7057328005357961,19.454742431640625,29.78997230529785,22.366968154907227,9.061004638671875,17.320640563964844,0.3582305908203125,0.9329902529716492,0.6307449844528688,0.9253737700728373
lat+61.4803_lon+014.6401_00097,65536,16.722797393798828,12.838363647460938,0.8731460571289062,0.7338397356462352,61.73309326171875,32.41435241699219,62.60623550415039,36.39599609375,40.56608963012695,0.94183349609375,0.41223588585853577,0.9329110232648564,0.984382088004666
lat+61.5057_lon+014.7455_00005,65536,16.821395874023438,13.01213264465332,2.505476474761963,0.7351602529753302,60.50306701660156,32.68665313720703,63.008544921875,33.4825439453125,37.521942138671875,0.9311065673828125,0.44830822944641113,0.9067206371576998,0.976352403271005
lat+67.1878_lon+020.4789_00027,65536,17.37226104736328,13.466939926147461,2.4269258975982666,0.6299960205589985,52.803314208984375,28.559667587280273,55.23023986816406,32.635772705078125,37.07191467285156,0.8980560302734375,0.4686097502708435,0.901639622801801,0.9796958627134483
lat+66.4712_lon+018.1860_00059,65536,17.607595443725586,11.242635726928711,2.244873285293579,0.7592365980845441,24.508636474609375,35.88433074951172,26.753511428833008,15.098052978515625,26.71841812133789,0.3570098876953125,0.659005880355835,0.9002008804547592,0.9816643159379408
lat+65.1313_lon+015.2360_00018,65536,17.783655166625977,10.40108871459961,6.485951900482178,0.5758943797489158,17.5958251953125,27.307628631591797,24.081775665283203,8.715484619140625,16.40403938293457,0.3449249267578125,1.0841021537780762,0.6077416500774165,0.9255474452554745
lat+65.2071_lon+015.3209_00070,65536,18.044694900512695,10.38753604888916,5.963645935058594,0.5928242481712315,16.696334838867188,28.278644561767578,22.65998077392578,8.589447021484375,17.304386138916016,0.322265625,1.0427815914154053,0.5893465909090909,0.9545454545454546
lat+66.6482_lon+018.6290_00066,65536,18.840797424316406,13.849593162536621,7.675821304321289,0.6592399882818222,37.281829833984375,32.27565002441406,44.95764923095703,19.54217529296875,26.185317993164062,0.6589813232421875,0.7195175886154175,0.795563479750851,0.9715886725171927
